,bodyType,brand,color,fuelType,modelDate,name,numberOfDoors,productionDate,vehicleConfiguration,engineDisplacement,enginePower,description,mileage,Комплектация,Привод,Руль,Владельцы,ПТС,Таможня,Владение,Дата_объявления,Price
0,Седан,AUDI,CACECB,бензин,1988,1.8 MT (90 л.с.),4,1989,MECHANICAL,1.8,90,,240000,{'id': '0'},передний,LEFT,3,ORIGINAL,True,,2020-08-23T17:40:09Z,83000
1,Седан,AUDI,660099,бензин,1982,2.2 AT (137 л.с.),4,1988,AUTOMATIC,2.2,137,"Машина работает нормально 
На запчасти целиком 
Утилизирована ",150000,{'id': '0'},передний,LEFT,2,ORIGINAL,True,,2020-08-23T18:32:23Z,39000
2,Универсал 5 дв.,AUDI,CACECB,бензин,1990,2.6 AT (150 л.с.),5,1993,AUTOMATIC,2.6,150,"Машина в отличном состоянии . Двигатель и коробка без нареканий . АКПП переключает плавно . Бежит прекрасно , без стуков и грохота . Работает всё , включая ручник . Вложений не требует , сел и поехал . Документы в порядке . Штрафов нет . Вопросы по телефону . С уважением .",448000,{'id': '0'},передний,LEFT,3,DUPLICATE,True,"{'year': 2015, 'month': 6}",2020-08-23T12:45:40Z,160000
3,Седан,AUDI,97948F,бензин,1990,2.3 MT (133 л.с.),4,1991,MECHANICAL,2.3,133,"Машина в хорошем состоянии, без вложений, новый аккумулятор, хорошая резина. ",250000,{'id': '0'},передний,LEFT,3,ORIGINAL,True,,2020-07-27T10:04:23Z,200000
4,Седан,AUDI,97948F,бензин,1986,1.8 MT (75 л.с.),4,1987,MECHANICAL,1.8,75,"Полностью на ходу. Мотор, кпп, ходовая в порядке. Кузов уставший.Торг. Обмен.Можно без оформления.",250000,{'id': '0'},передний,LEFT,3,ORIGINAL,True,,2020-08-19T13:32:59Z,45000
5,Седан,AUDI,660099,бензин,1991,2.0 MT (90 л.с.),4,1992,MECHANICAL,2.0,90,"Продаю машину в отличном состоянии, два комплекта почти новой резины на дисках. В машину вложено столько денег, начиная с 19 года, с прежнего хозяина: перебран двигатель(контакты прежнего хозяина есть), заменены радиатор печки, правый шруз, термостат, тормозные диски, ступичные передние подшипники, комплект ГРМ, ремень генератора и ГУРа, новое сцепление в сборе, новый аккумулятор. Из последнего в июле 2020 года заменены передние рычаги, рулевые тяги и наконечники, сайлен блоки, колодки перед и зад, новые суппорта, поменял масла, все фильтры,жидкость гура,антифриз, датчики на монике , свечи . Есть ссылка по ремонту машины в нете.Поставил колонки пионер, магнитолу с громкой связью, купил дорогие дефлекторы, лид свет установил. Машина- конфетка.Машина стоит на учёте в гаи на дочке,техосмотр и страховка на год.  Теперь причина продажи: покупал дочке (только права получила), два раза проехала и говорит, что не могу на такой ездить, большая и нужен автомат. Очень обидно, вложил столько сил и средств! Себе оставить не могу у меня есть Мицубиси Аутлендер. Кому-то достанется подарок, таких машин практически нет! По вацапу могу выслать еще фото.торг у капота.",300000,{'id': '0'},передний,LEFT,3,ORIGINAL,True,"{'year': 2020, 'month': 7}",2020-07-18T09:20:47Z,145000
6,Седан,AUDI,22A0F8,бензин,1986,1.8 MT (90 л.с.),4,1991,MECHANICAL,1.8,90,"Машина на ходу АКБ поменял на восстановленный тормоза в круг поменяны ручник тросики втулки стабилизатора и стойки стабилизатора новые , отдам стойки и всю требуху новую пороги гнелые но домкрад держат , дно не гнелое , Без торга не тороплюсь с продажей кому интерессно можно посмотреть , а да зима в придачу . ",328691,{'id': '0'},передний,LEFT,3,DUPLICATE,True,,2020-08-23T14:57:19Z,55000
7,Седан,AUDI,007F00,бензин,1991,1.6 MT (71 л.с.),4,1994,MECHANICAL,1.6,71,продам авто на ходу сел и поехал реальный торг у капота,164601,{'id': '0'},передний,LEFT,3,ORIGINAL,True,,2020-08-23T14:47:01Z,110000
8,Седан,AUDI,CACECB,бензин,1986,1.8 MT (90 л.с.),4,1990,MECHANICAL,1.8,90,"Очень хороший немецкий автомобиль, надёжный, технически ухоженный, но к сожалению требуется косметика. За 5лет ни разу не подвел,объехал половину России без единой поломки. ",451600,{'id': '0'},передний,LEFT,3,ORIGINAL,True,"{'year': 2015, 'month': 8}",2020-08-23T08:37:35Z,100000
9,Хэтчбек 5 дв. Sportback,AUDI,040001,бензин,2010,1.4 AMT (122 л.с.),5,2012,ROBOT,1.4,122,"«Inchcape Certified-  Первый международный официальный гипермаркет автомобилей с пробегом и
Официальный дилер BMW,Mini, Land Rover, Jaguar, Toyota, Lexus, Mitsubishi, Hyundai, Volvo и Infiniti
Уникальные условия покупки автомобиля с пробегом в Inchcape Certified:
-При обмене на Ваш автомобиль и покупке в кредит от 10,9%. Одобрение в течении 1 час по двум документам.
-Выгодные условия выкупа вашего автомобиля. Получение 100% суммы из кассы в течение 1часа!
-Автомобиль полностью проверен по технической и кузовной части, критических недостатков не выявлено.
-Успешно пройдена криминалистическая проверка. Гарантия юридической чистоты.

2 владельца по птс
богатая комплектация
эксклюзивный черный цвет с серой крышей
спортивные сидения
литые 16 ые диски

Особые условия на представленный автомобиль для вас при покупке в КРЕДИТ или ОБМЕНЕ

Комплектация «Attraction»:
• Антиблокировочная система
• Система курсовой устойчивости
• Подушки безопасности водителя
• Подушки безопасности пассажира
• Боковые передние подушки безопасности
• Оконные шторки безопасности
• Система крепления детских автокресел Isofix / LATCH
• Иммобилайзер
• Центральный замок
• Усилитель руля
• Система “старт-стоп”
• Регулировка руля
• Электростеклоподъемники передние и задние
• Электропривод зеркал
• Кондиционер
• Подогрев сидений водителя и пассажира
• Обогрев зеркал
• Обогрев форсунок стеклоомывателей
• CD
• Аудиоподготовка
• Тканевая обивка салона
• Складывающееся заднее сидение
• Третий задний подголовник
• Размер дисков 15″",125139,"{'id': '7979584', 'name': 'Attraction', 'available_options': ['heated-wash-system', 'airbag-passenger', 'lock', 'electro-mirrors', 'mirrors-heat', 'start-stop-function', 'seat-transformation', 'wheel-power', 'fabric-seats', 'airbag-side', 'abs', 'esp', 'audiopreparation', 'electro-window-back', 'condition', '15-inch-wheels', 'airbag-driver', 'isofix', 'electro-window-front', 'airbag-curtain', 'audiosystem-cd', 'front-seats-heat', 'wheel-configuration2', 'wheel-configuration1', 'immo', 'third-rear-headrest']}",передний,LEFT,2,ORIGINAL,True,,2020-08-23T06:06:48Z,630000
